,TASA_PISO_TIERRA,TASA_SIN_DRENAJE,TASA_SIN_ELEC,TASA_SIN_BIENES,TASA_1_CUARTO,TASA_LETRINA,HACINAMIENTO,SCORE_REZAGO,PRO_OCUP_C,VPH_INTER,VPH_AUTOM,VPH_PC,VPH_REFRI,GRAPROES,n_bancos,n_cafes,n_inmobiliarias,n_empenos,n_usados,n_yonques,VALOR_CATASTRAL_MAX,abandono_alto
2603000010841,0.0066555,0.0,0.0,0.0,0.014925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2603000010894,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.125714,0.88,90.0,103.0,69.0,174.0,10.64,0.0,1.0,0.0,0.0,0.0,0.0,1270.0,0
2603000010907,0.0,0.0,0.0,0.0,0.0,0.0,1.03,0.171667,1.03,632.0,557.0,370.0,898.0,10.82,0.0,1.0,0.0,0.0,0.0,0.0,2010.0,1
2603000010911,0.0,0.0,0.0,0.0,0.0,0.0,1.11,0.158571,1.11,71.0,56.0,39.0,91.0,10.6,0.0,0.0,0.0,0.0,0.0,0.0,3330.0,0
2603000010926,0.714286,0.0,0.0,0.0,0.714286,0.0,1.74,0.633714,1.74,223.0,8.0,159.0,14.0,7.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2603000010945,0.008451,0.0,0.0,0.0,0.0,0.0,0.86,0.124064,0.86,299.0,315.0,266.0,370.0,13.66,0.0,0.0,0.0,0.0,0.0,0.0,3155.0,1
260300001095A,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.102857,0.72,222.0,221.0,208.0,236.0,14.53,0.0,0.0,0.0,0.0,0.0,0.0,1985.0,0
2603000010964,0.0066555,0.0,0.0,0.0,0.014925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2603000011055,0.74359,0.179487,0.076923,0.153846,0.615385,0.153846,1.6,0.503297,1.6,223.0,4.0,159.0,16.0,7.41,0.0,0.0,0.0,0.0,0.0,0.0,906.0,0
260300001106A,0.0066555,0.0,0.0,0.0,0.014925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2090.0,0
2603000011074,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.088571,0.62,303.0,304.0,297.0,304.0,15.58,0.0,0.0,0.0,0.0,0.0,0.0,5725.0,0
2603000011089,0.0066555,0.0,0.0,0.0,0.014925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2603000011093,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.08,0.56,8.0,8.0,7.0,8.0,14.62,0.0,0.0,0.0,0.0,0.0,0.0,3957.0,0
2603000011106,0.0,0.0,0.0,0.0,0.0,0.0,1.06,0.151429,1.06,15.0,17.0,8.0,28.0,9.74,0.0,0.0,0.0,0.0,0.0,0.0,1243.0,0
2603000011110,0.283784,0.054054,0.0,0.0,0.351351,0.121622,1.8,0.522162,1.8,14.0,20.0,6.0,50.0,7.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2603000011125,0.0066555,0.0,0.0,0.0,0.0,0.0,1.07,0.2675,1.07,130.0,143.0,82.0,223.0,10.46,0.0,0.0,0.0,0.0,0.0,0.0,1264.0,0
260300001113A,0.0066555,0.0,0.0,0.0,0.014925,0.0,0.85,0.85,0.85,223.0,0.0,159.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1455.0,0
2603000011144,0.0,0.0,0.0,0.003282,0.0,0.0,1.02,0.170547,1.02,632.0,552.0,336.0,891.0,10.69,0.0,0.0,0.0,0.0,0.0,0.0,1308.0,0
2603000011159,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.084286,0.59,135.0,137.0,121.0,142.0,15.57,0.0,0.0,0.0,0.0,0.0,0.0,4160.0,0
2603000011163,0.0066555,0.0,0.0,0.0,0.014925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2603000011178,0.0066555,0.0,0.0,0.0,0.014925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2603000011197,0.0,0.0,0.0,0.0,0.0,0.0,1.11,0.158571,1.11,46.0,45.0,25.0,81.0,10.42,0.0,0.0,0.0,0.0,0.0,0.0,1352.0,0
260300001120A,0.0066555,0.0,0.0,0.0,0.0,0.0,0.64,0.106667,0.64,540.0,537.0,506.0,542.0,15.92,0.0,0.0,1.0,0.0,0.0,0.0,5080.0,1
2603000011214,0.0066555,0.0,0.0,0.0,0.014925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2603000011233,0.0066555,0.0,0.0,0.0,0.014925,0.0,0.86,0.158587,0.86,223.0,218.0,159.0,309.0,10.53,0.0,0.0,0.0,0.0,0.0,0.0,1871.0,0
2603000011248,0.0066555,0.0,0.0,0.0,0.014925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2603000011267,0.0066555,0.0,0.0,0.0,0.014925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2603000011271,0.0066555,0.0,0.0,0.0,0.014925,0.0,0.86,0.158587,0.86,223.0,218.0,159.0,309.0,10.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2603000011286,0.0,0.0,0.0,0.0,0.0,0.0,1.09,0.155714,1.09,51.0,57.0,29.0,78.0,10.55,0.0,0.0,0.0,0.0,0.0,0.0,1243.0,0
2603000011290,0.125,0.0,0.0,0.0,0.014925,0.09375,1.22,0.359688,1.22,22.0,31.0,13.0,53.0,9.95,0.0,0.0,0.0,0.0,0.0,0.0,1493.0,0
2603000011303,0.0066555,0.0,0.0,0.0,0.0,0.0,1.04,0.26,1.04,448.0,382.0,308.0,687.0,11.03,0.0,0.0,0.0,0.0,0.0,0.0,1379.0,1
2603000011318,0.0066555,0.0,0.0,0.0,0.0,0.0,0.58,0.096667,0.58,222.0,218.0,213.0,223.0,16.09,0.0,0.0,0.0,0.0,0.0,0.0,4160.0,1
2603000011322,0.0066555,0.0,0.0,0.0,0.014925,0.0,0.86,0.158587,0.86,223.0,218.0,159.0,309.0,10.53,0.0,0.0,0.0,0.0,0.0,0.0,3957.0,0
2603000011360,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.078571,0.55,6.0,7.0,6.0,7.0,15.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2603000011375,0.0066555,0.0,0.0,0.0,0.014925,0.0,0.86,0.158587,0.86,223.0,218.0,159.0,309.0,10.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2603000011394,0.0066555,0.0,0.0,0.0,0.0,0.0,1.15,0.383333,1.15,263.0,254.0,141.0,400.0,11.36,0.0,0.0,0.0,0.0,0.0,0.0,1335.0,0
2603000011407,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.135714,0.95,56.0,56.0,38.0,95.0,10.59,0.0,0.0,0.0,0.0,0.0,0.0,1243.0,0
2603000011411,0.0,0.0,0.0,0.0,0.0,0.0,1.04,0.148571,1.04,146.0,153.0,82.0,240.0,10.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2603000011426,0.0066555,0.0,0.0,0.0,0.0,0.0,0.59,0.098333,0.59,300.0,324.0,280.0,328.0,15.29,0.0,0.0,0.0,0.0,0.0,0.0,6415.0,1
2603000011430,0.0066555,0.0,0.0,0.0,0.0,0.0,0.99,0.198,0.99,213.0,313.0,168.0,576.0,10.15,0.0,0.0,0.0,0.0,0.0,0.0,1412.0,1
2603000011445,0.008621,0.0,0.0,0.0,0.0,0.0,0.72,0.104089,0.72,558.0,574.0,459.0,633.0,13.66,0.0,1.0,0.0,0.0,0.0,0.0,1871.0,1
260300001145A,0.0066555,0.0,0.0,0.0,0.0,0.0,0.81,0.135,0.81,391.0,404.0,332.0,452.0,13.48,0.0,0.0,0.0,0.0,0.0,0.0,3155.0,1
2603000011464,0.0066555,0.0,0.0,0.0,0.0,0.0,0.68,0.113333,0.68,94.0,97.0,76.0,102.0,14.24,0.0,0.0,0.0,0.0,0.0,0.0,1630.0,1
2603000011479,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.082857,0.58,19.0,23.0,21.0,24.0,15.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2603000011498,0.0066555,0.0,0.0,0.0,0.014925,0.0,0.81,0.81,0.81,3.0,3.0,159.0,5.0,8.73,0.0,0.0,0.0,0.0,0.0,0.0,5744.0,0
2603000011500,0.0066555,0.0,0.0,0.0,0.014925,0.0,1.34,1.34,1.34,7.0,10.0,6.0,15.0,9.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
